cine_theater_id,theater_type,theater_area,latitude,longitude
cinePOS_05466,Other,Area_104,22.619232818721358,78.11301670016887
cinePOS_08708,Other,Area_104,22.619232818721358,78.11301670016887
cinePOS_00753,Other,Area_104,22.619232818721358,78.11301670016887
cinePOS_05776,Other,Area_104,22.619232818721358,78.11301670016887
cinePOS_07536,Other,Area_104,23.004410378721357,79.93451538016886
cinePOS_10725,Other,Area_104,23.004410378721357,79.93451538016886
cinePOS_07914,Other,Area_104,23.004410378721357,79.93451538016886
cinePOS_03118,Other,Area_104,23.004410378721357,79.93451538016886
cinePOS_03198,Other,Area_104,23.004410378721357,79.93451538016886
cinePOS_03688,Other,Area_104,23.004410378721357,79.93451538016886
cinePOS_00936,Other,Area_104,23.004410378721357,79.93451538016886
cinePOS_01039,Other,Area_104,23.004410378721357,79.93451538016886
cinePOS_12354,Other,Area_104,23.004410378721357,79.93451538016886
cinePOS_09272,Other,Area_104,23.004410378721357,79.93451538016886
cinePOS_06676,Other,Area_104,23.004410378721357,79.93451538016886
cinePOS_00963,Other,Area_104,23.004410378721357,79.93451538016886
cinePOS_06785,Other,Area_105,23.004410378721357,79.93451538016886
cinePOS_00282,Other,Area_105,22.176869418721356,76.19100106016887
cinePOS_06808,Other,Area_105,22.176869418721356,76.19100106016887
cinePOS_00486,Other,Area_105,22.176869418721356,76.19100106016887
cinePOS_07347,Other,Area_105,22.176869418721356,76.19100106016887
cinePOS_05325,Other,Area_105,22.176869418721356,76.19100106016887
cinePOS_01583,Other,Area_105,22.176869418721356,76.19100106016887
cinePOS_12986,Other,Area_105,22.176869418721356,76.19100106016887
cinePOS_06215,Other,Area_105,22.176869418721356,76.19100106016887
cinePOS_01006,Other,Area_105,22.176869418721356,76.19100106016887
cinePOS_12711,Other,Area_105,22.999811978721358,79.89517462016887
cinePOS_01210,Other,Area_105,22.999811978721358,79.89517462016887
cinePOS_05741,Other,Area_105,22.999811978721358,79.89517462016887
cinePOS_00138,Other,Area_105,22.999811978721358,79.89517462016887
cinePOS_05400,Other,Area_105,22.623327818721357,78.23788578016887
cinePOS_07783,Other,Area_105,22.623327818721357,78.23788578016887
cinePOS_12066,Other,Area_105,23.005894058721356,79.91549594016887
cinePOS_01472,Other,Area_105,23.005894058721356,79.91549594016887
cinePOS_13199,Other,Area_105,23.005894058721356,79.91549594016887
cinePOS_04647,Other,Area_105,23.005894058721356,79.91549594016887
cinePOS_04807,Other,Area_105,23.005894058721356,79.91549594016887
cinePOS_00901,Other,Area_105,23.005894058721356,79.91549594016887
cinePOS_05040,Other,Area_105,23.005894058721356,79.91549594016887
cinePOS_13121,Other,Area_105,23.005894058721356,79.91549594016887
cinePOS_03663,Other,Area_105,23.005894058721356,79.91549594016887
cinePOS_08902,Other,Area_009,23.02100941872136,79.88845086016887
cinePOS_13049,Other,Area_009,23.02100941872136,79.88845086016887
cinePOS_12083,Other,Area_009,22.495680938721357,77.01588274016886
cinePOS_03177,Other,Area_009,22.495680938721357,77.01588274016886
cinePOS_02420,Other,Area_009,23.01002881872136,79.94220582016888
cinePOS_09597,Other,Area_009,23.01002881872136,79.94220582016888
cinePOS_12361,Other,Area_009,23.01002881872136,79.94220582016888
cinePOS_06267,Other,Area_009,23.01002881872136,79.94220582016888
cinePOS_06207,Other,Area_009,23.018719178721355,79.91529546016888
cinePOS_03432,Other,Area_009,23.018719178721355,79.91529546016888
cinePOS_01403,Other,Area_009,23.018719178721355,79.91529546016888
cinePOS_03948,Other,Area_009,23.018719178721355,79.91529546016888
