book_theater_id,theater_type,theater_area,latitude,longitude
book_00093,Drama,Area_001,22.619232818721358,78.11301670016887
book_00078,Drama,Area_001,22.619232818721358,78.11301670016887
book_00291,Drama,Area_001,22.619232818721358,78.11301670016887
book_00258,Drama,Area_001,22.619232818721358,78.11301670016887
book_00212,Drama,Area_002,23.004410378721357,79.93451538016886
,Drama,Area_002,23.004410378721357,79.93451538016886
,Drama,Area_002,23.004410378721357,79.93451538016886
book_00038,Drama,Area_002,23.004410378721357,79.93451538016886
,Drama,Area_002,23.004410378721357,79.93451538016886
book_00302,Drama,Area_002,23.004410378721357,79.93451538016886
book_00209,Drama,Area_002,23.004410378721357,79.93451538016886
,Drama,Area_002,23.004410378721357,79.93451538016886
,Drama,Area_002,23.004410378721357,79.93451538016886
,Drama,Area_002,23.004410378721357,79.93451538016886
,Drama,Area_002,23.004410378721357,79.93451538016886
book_00058,Drama,Area_002,23.004410378721357,79.93451538016886
book_00021,Drama,Area_002,23.004410378721357,79.93451538016886
book_00226,Drama,Area_003,22.176869418721356,76.19100106016887
book_00063,Drama,Area_003,22.176869418721356,76.19100106016887
,Drama,Area_003,22.176869418721356,76.19100106016887
,Drama,Area_003,22.176869418721356,76.19100106016887
,Drama,Area_003,22.176869418721356,76.19100106016887
book_00271,Drama,Area_003,22.176869418721356,76.19100106016887
,Drama,Area_003,22.176869418721356,76.19100106016887
,Drama,Area_003,22.176869418721356,76.19100106016887
book_00262,Drama,Area_003,22.176869418721356,76.19100106016887
book_00234,Drama,Area_004,22.999811978721358,79.89517462016887
,Drama,Area_004,22.999811978721358,79.89517462016887
,Drama,Area_004,22.999811978721358,79.89517462016887
,Drama,Area_004,22.999811978721358,79.89517462016887
book_00208,Drama,Area_005,22.623327818721357,78.23788578016887
book_00069,Drama,Area_005,22.623327818721357,78.23788578016887
book_00267,Drama,Area_006,23.005894058721356,79.91549594016887
book_00180,Drama,Area_006,23.005894058721356,79.91549594016887
,Drama,Area_006,23.005894058721356,79.91549594016887
,Drama,Area_006,23.005894058721356,79.91549594016887
,Drama,Area_006,23.005894058721356,79.91549594016887
book_00127,Drama,Area_006,23.005894058721356,79.91549594016887
,Drama,Area_006,23.005894058721356,79.91549594016887
book_00202,Drama,Area_006,23.005894058721356,79.91549594016887
book_00020,Drama,Area_006,23.005894058721356,79.91549594016887
,Drama,Area_007,23.02100941872136,79.88845086016887
book_00037,Drama,Area_007,23.02100941872136,79.88845086016887
book_00254,Drama,Area_008,22.495680938721357,77.01588274016886
book_00134,Drama,Area_008,22.495680938721357,77.01588274016886
book_00042,Drama,Area_009,23.01002881872136,79.94220582016888
book_00290,Drama,Area_009,23.01002881872136,79.94220582016888
,Drama,Area_009,23.01002881872136,79.94220582016888
,Drama,Area_009,23.01002881872136,79.94220582016888
book_00173,Drama,Area_010,23.018719178721355,79.91529546016888
book_00158,Drama,Area_010,23.018719178721355,79.91529546016888
,Drama,Area_010,23.018719178721355,79.91529546016888
book_00154,Drama,Area_010,23.018719178721355,79.91529546016888
book_00070,Drama,Area_010,23.018719178721355,79.91529546016888
book_00232,Drama,Area_010,23.018719178721355,79.91529546016888
,Drama,Area_011,22.997768298721358,79.91314418016887
,Drama,Area_011,22.997768298721358,79.91314418016887
book_00084,Drama,Area_011,22.997768298721358,79.91314418016887
,Drama,Area_011,22.997768298721358,79.91314418016887
,Drama,Area_012,22.64496417872136,78.24061970016888
,Drama,Area_012,22.64496417872136,78.24061970016888
book_00227,Drama,Area_013,23.026788818721357,79.79701294016887
,Drama,Area_013,23.026788818721357,79.79701294016887
book_00100,Drama,Area_013,23.026788818721357,79.79701294016887
book_00054,Drama,Area_014,22.177726178721358,76.19982702016887
book_00268,Drama,Area_014,22.177726178721358,76.19982702016887
book_00006,Drama,Area_015,22.625541338721355,79.12425158016887
book_00019,Drama,Area_015,22.625541338721355,79.12425158016887
book_00184,Drama,Area_016,25.963367178721352,80.57025794016887
,Drama,Area_016,25.963367178721352,80.57025794016887
book_00159,Drama,Area_017,23.01115049872136,79.92858570016887
,Drama,Area_017,23.01115049872136,79.92858570016887
book_00204,Drama,Area_018,23.009443338721358,79.94262026016887
,Drama,Area_018,23.009443338721358,79.94262026016887
,Drama,Area_018,23.009443338721358,79.94262026016887
,Drama,Area_018,23.009443338721358,79.94262026016887
,Drama,Area_018,23.009443338721358,79.94262026016887
,Drama,Area_018,23.009443338721358,79.94262026016887
,Drama,Area_018,23.009443338721358,79.94262026016887
,Drama,Area_018,23.009443338721358,79.94262026016887
,Drama,Area_018,23.009443338721358,79.94262026016887
book_00196,Drama,Area_018,23.009443338721358,79.94262026016887
book_00124,Drama,Area_019,22.643963258721357,77.97034670016886
book_00266,Drama,Area_019,22.643963258721357,77.97034670016886
book_00237,Drama,Area_020,23.018784218721358,79.93531374016888
,Drama,Area_020,23.018784218721358,79.93531374016888
book_00133,Drama,Area_020,23.018784218721358,79.93531374016888
book_00236,Drama,Area_020,23.018784218721358,79.93531374016888
,Drama,Area_021,22.613687698721357,78.23779606016886
,Drama,Area_021,22.613687698721357,78.23779606016886
book_00168,Drama,Area_021,22.613687698721357,78.23779606016886
book_00142,Drama,Area_021,22.613687698721357,78.23779606016886
book_00185,Drama,Area_021,22.613687698721357,78.23779606016886
,Drama,Area_021,22.613687698721357,78.23779606016886
book_00027,Drama,Area_021,22.613687698721357,78.23779606016886
,Drama,Area_022,22.98206353872136,79.91295134016886
,Drama,Area_022,22.98206353872136,79.91295134016886
,Drama,Area_023,22.636221738721357,78.17050142016886
,Drama,Area_023,22.636221738721357,78.17050142016886
book_00015,Drama,Area_023,22.636221738721357,78.17050142016886
book_00068,Drama,Area_024,22.993008738721358,79.90787258016887
book_00165,Drama,Area_024,22.993008738721358,79.90787258016887
book_00264,Other,Area_001,22.619232818721358,78.11301670016887
,Other,Area_001,22.619232818721358,78.11301670016887
,Other,Area_001,22.619232818721358,78.11301670016887
,Other,Area_001,22.619232818721358,78.11301670016887
,Other,Area_002,23.004410378721357,79.93451538016886
,Other,Area_002,23.004410378721357,79.93451538016886
,Other,Area_002,23.004410378721357,79.93451538016886
,Other,Area_002,23.004410378721357,79.93451538016886
,Other,Area_002,23.004410378721357,79.93451538016886
book_00285,Other,Area_002,23.004410378721357,79.93451538016886
,Other,Area_002,23.004410378721357,79.93451538016886
,Other,Area_002,23.004410378721357,79.93451538016886
book_00051,Other,Area_003,22.176869418721356,76.19100106016887
,Other,Area_003,22.176869418721356,76.19100106016887
,Other,Area_003,22.176869418721356,76.19100106016887
book_00139,Other,Area_003,22.176869418721356,76.19100106016887
,Other,Area_003,22.176869418721356,76.19100106016887
book_00299,Other,Area_004,22.999811978721358,79.89517462016887
,Other,Area_004,22.999811978721358,79.89517462016887
,Other,Area_004,22.999811978721358,79.89517462016887
,Other,Area_004,22.999811978721358,79.89517462016887
book_00101,Other,Area_025,26.249437338721357,80.97980330016887
book_00110,Other,Area_025,26.249437338721357,80.97980330016887
book_00003,Other,Area_025,26.249437338721357,80.97980330016887
,Other,Area_026,23.051448898721357,79.95566722016886
,Other,Area_026,23.051448898721357,79.95566722016886
book_00129,Other,Area_005,22.623327818721357,78.23788578016887
book_00183,Other,Area_005,22.623327818721357,78.23788578016887
book_00055,Other,Area_005,22.623327818721357,78.23788578016887
,Other,Area_005,22.623327818721357,78.23788578016887
book_00313,Other,Area_005,22.623327818721357,78.23788578016887
book_00156,Other,Area_005,22.623327818721357,78.23788578016887
,Other,Area_005,22.623327818721357,78.23788578016887
book_00269,Other,Area_006,23.005894058721356,79.91549594016887
,Other,Area_006,23.005894058721356,79.91549594016887
book_00148,Other,Area_006,23.005894058721356,79.91549594016887
,Other,Area_006,23.005894058721356,79.91549594016887
,Other,Area_006,23.005894058721356,79.91549594016887
book_00169,Other,Area_006,23.005894058721356,79.91549594016887
,Other,Area_006,23.005894058721356,79.91549594016887
book_00087,Other,Area_006,23.005894058721356,79.91549594016887
book_00283,Other,Area_006,23.005894058721356,79.91549594016887
,Other,Area_007,23.02100941872136,79.88845086016887
,Other,Area_007,23.02100941872136,79.88845086016887
book_00306,Other,Area_008,22.495680938721357,77.01588274016886
book_00067,Other,Area_008,22.495680938721357,77.01588274016886
book_00215,Other,Area_010,23.018719178721355,79.91529546016888
book_00143,Other,Area_010,23.018719178721355,79.91529546016888
book_00117,Other,Area_010,23.018719178721355,79.91529546016888
,Other,Area_010,23.018719178721355,79.91529546016888
,Other,Area_010,23.018719178721355,79.91529546016888
book_00275,Other,Area_010,23.018719178721355,79.91529546016888
,Other,Area_010,23.018719178721355,79.91529546016888
,Other,Area_010,23.018719178721355,79.91529546016888
,Other,Area_010,23.018719178721355,79.91529546016888
book_00198,Other,Area_011,22.997768298721358,79.91314418016887
,Other,Area_011,22.997768298721358,79.91314418016887
,Other,Area_011,22.997768298721358,79.91314418016887
book_00245,Other,Area_011,22.997768298721358,79.91314418016887
,Other,Area_011,22.997768298721358,79.91314418016887
,Other,Area_011,22.997768298721358,79.91314418016887
,Other,Area_011,22.997768298721358,79.91314418016887
book_00002,Other,Area_027,22.611675578721357,78.22829918016888
book_00044,Other,Area_027,22.611675578721357,78.22829918016888
,Other,Area_027,22.611675578721357,78.22829918016888
,Other,Area_013,23.026788818721357,79.79701294016887
,Other,Area_013,23.026788818721357,79.79701294016887
,Other,Area_013,23.026788818721357,79.79701294016887
book_00114,Other,Area_015,22.625541338721355,79.12425158016887
book_00138,Other,Area_015,22.625541338721355,79.12425158016887
book_00113,Other,Area_015,22.625541338721355,79.12425158016887
,Other,Area_028,22.068897738721358,76.23722510016887
book_00056,Other,Area_028,22.068897738721358,76.23722510016887
,Other,Area_028,22.068897738721358,76.23722510016887
book_00251,Other,Area_029,24.048813578721354,80.38203686016887
book_00130,Other,Area_029,24.048813578721354,80.38203686016887
